study,prenr,year,field,glescomp,survey,Fortlaufende,STARTH,STARTMIN,STARTSEC,starttime,ENDEH,ENDEMIN,ENDESEC,endtime,duration_time,TEXT,Participation_W1,Interupted,MODFRAGE,STRATEGI,VALENZ,Content,Character,Theme,ZEIT,POLHAND,KONKR,OBJ,POLEB,BULA,OBJ1,OBJ1S,OBJ1P,OBJ2,OBJ2S,OBJ2P,GRPDARST,HUMOR,Metaphor,Scold,ZAHLEN,LAGE,WERTE,STATISTI,BEISPIEL,HISTORIE,ZITAT
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",11,0,2,33,153,0,2,38,158,5,including limiting managers' salaries. That would have helped people.,Steinmeier,no,does not apply,Attack,Explicitly,Politics,does not apply,Special topic manager salaries,The past,Description of made/not-made policy,Concrete statement,singular,Federal level,does not apply,CDU,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",12,0,2,38,158,0,2,42,162,4,Have we just seen what you mean by mobilizing the SPD electorate?,Plasberg,no,Critical question,does not apply,does not apply,Politics,does not apply,Federal election campaign area,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",13,0,2,42,162,0,2,49,169,7,"In any case, that's the point, Mr. Plasberg. That's how I understood your invitation to come here, to make differences clear, that's what it's all about.",Steinmeier,no,does not apply,No strategy,does not apply,Politics,does not apply,Bundestag election campaign area,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,Moderatoren,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",14,0,2,49,169,0,2,57,177,8,"And I will tell you quite frankly, I believe that democracy thrives on it and only thrives if social equality is guaranteed.",Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Social policy area,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,"Bürger, Wähler, Volk",trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,Yes,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",15,0,2,57,177,0,3,4,184,7,I want to ensure this with a government led by the SPD after September twenty-seventh.,Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Bundestag election campaign area,Future,Announcement of future plans,Not useful,singular,Federal level,does not apply,SPD,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",16,0,3,4,184,0,3,9,189,5,I am in favor of this and want to ensure that responsibility and common sense return to the economy.,Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Economic policy area,Future,Announcement of future plans,Commonplace,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,Yes,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",17,0,3,9,189,0,3,12,192,3,I want to provide work for tomorrow and,Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,"Unemployment, unemployment figures",Future,Announcement of future plans,Commonplace,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",18,0,3,12,192,0,3,19,199,7,"that there will be no return to nuclear power. That is what I stand for and that is why I am asking for support, yes.",Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Special topic nuclear phase-out,Future,Announcement of future plans,Concrete statement,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",19,0,3,19,199,0,3,38,218,19,"Managers are not supposed to talk badly about their deputy, Mrs. Merkel, with one exception: if the man is actually sawing away at the boss's chair. Which is clearly the case here. So, you can speak to us, to Mr. Steinmeier, and tell him why he would be the worse chancellor.",Limbourg,no,open question,does not apply,does not apply,Politics,does not apply,Bundestag election campaign area,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",20,0,3,38,218,0,3,46,226,8,"So, first of all, I think it should be said that this grand coalition has indeed worked well under my leadership.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Exclusionary representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",21,0,3,46,226,0,4,6,246,20,"Let me remind you that when I became Chancellor in 2005, Germany had over 5 million unemployed in winter two-five, two-six. We brought that down to under 3 million by the end of 2008. That shows that the CDU/CSU-led federal government has made a lot of progress here and that has done the country good.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,"Unemployment, unemployment figures",The past,Description of made/not-made policy,Concrete statement,singular,Federal level,does not apply,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,Yes,positive impression,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",22,0,4,5,245,0,4,16,256,11,"Because even today, even during the crisis, we still have over a million more jobs subject to social insurance contributions. This means a better situation for millions of families.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Labor market policy area,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,positive impression,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",23,0,4,16,256,0,4,25,265,9,"However, I believe that we could pursue this course even more resolutely, that we could take a more determined approach to more work.",Merkel,no,does not apply,Self-criticism,does not apply,Politics,does not apply,"Unemployment, unemployment figures",Future,Announcement of future plans,Commonplace,singular,Federal level,does not apply,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",24,0,4,25,265,0,4,35,275,10,"And that is why I am campaigning for a new government, although I am not about to say that we have worked well together, that we have got a lot of things off the ground.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",25,0,4,35,275,0,4,43,283,8,But it was necessary to turn the red-green coalition into a grand coalition under the leadership of the CDU/CSU in order to get this far.,Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,The past,Description of made/not-made policy,Not useful,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",26,0,4,43,283,0,4,48,288,5,"But Mrs. Merkel, that sounds more like a duet and less like a duel. The question was actually for you to tell Steinmeier why he would be the worse chancellor.",Limbourg,no,open question,does not apply,does not apply,Politics,does not apply,Bundestag election campaign area,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",27,0,4,48,288,0,4,59,299,11,I will answer the questions as I have planned. And I think we'll leave the definition of what is a duel and what is a duet to the viewers outside.,Merkel,no,does not apply,No strategy,does not apply,Politics,does not apply,TV duel itself/time accounts,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",28,0,4,59,299,0,5,3,303,4,I simply say that the grand coalition has done a good job and now we need,Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",29,0,5,3,303,0,5,14,314,11,"In the most serious crisis since the 1930s, we really need a decisive policy for more work and we need even more Union in the federal government.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Economic/financial crisis specifically,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,negative impression,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",30,0,5,14,314,0,5,28,328,14,"Mrs. Merkel, if it weren't for the duel, you'd think we were in court for marriages. Can we expect to be presented with a whole host of arguments in the next ninety minutes as to why this marriage of convenience has come to a hopeless end?",Illner,no,Critical question,does not apply,does not apply,Politics,does not apply,Coalitions in general,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",31,0,5,28,328,0,5,39,339,11,"So, we'll try to answer your questions, at least I will, and then I'd say let's go into medias res before we judge whether it was a duel, a duet or something else.",Merkel,no,does not apply,No strategy,does not apply,Politics,does not apply,TV duel itself/time accounts,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",32,0,5,39,339,0,5,46,346,7,The past was good and you won't dissuade me from the fact that we got a lot of things off the ground. The figures also show that.,Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,POLITCS,The past,Description of made/not-made policy,General presentation,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",33,0,5,46,346,0,5,53,353,7,"But, I say again, I think it is also good for a democracy if grand coalitions are not the norm.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,Politik/Parteien allgemein,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",34,0,5,53,353,0,6,2,362,9,"And incidentally, I am not primarily campaigning for a coalition today, but for the CDU and CSU, who would like to be stronger in the next government.",Merkel,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Bundestag election campaign area,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",35,0,6,2,362,0,6,13,373,11,"We had already noted that and of course this question was aimed at finding out once again what we actually do when the viewer says after these ninety minutes that they are basically a great match, they should carry on.",Illner,no,open question,does not apply,does not apply,Politics,does not apply,Coalitions in general,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",36,0,6,13,373,0,6,24,384,11,"If you ask me the question again in the 89th minute or in the 86th, before we make our closing statement, then perhaps I can answer it even better. At the moment, I would say let's talk about the content.",Merkel,no,does not apply,No strategy,does not apply,Politics,does not apply,TV duel itself/time accounts,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,Moderatoren,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",37,0,6,24,384,0,6,31,391,7,"Okay, before we get to that, a very quick question, Mr. Steinmeier. You've been sitting at the cabinet table with Angela Merkel for four years now. Are you now on first-name terms?",Klöppel,no,open question,does not apply,does not apply,Character,Personal,does not apply,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",38,0,6,31,391,0,6,41,401,10,"No, we're not on first-name terms and I don't think that's necessary in politics. You can work together objectively and properly without being on first-name terms.",Steinmeier,Bobbins,does not apply,No strategy,does not apply,Character,Personal,does not apply,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Moderatoren,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",39,0,6,41,401,0,7,3,423,22,"But perhaps I can say one more word about Mrs. Merkel's comments. Mrs. Merkel rightly pointed out that unemployment has gone down. Nobody is happier about that than I am. But I don't think anyone will deny, including anyone who is part of the current government, the grand coalition, Mrs. Merkel, no one will deny that these are fruits that didn't just fall from the sky.",Steinmeier,no,does not apply,Attack,Explicitly,Politics,does not apply,"Unemployment, unemployment figures",The past,Description of made/not-made policy,Commonplace,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,Yes,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",40,0,7,3,423,0,7,18,438,15,"And with regard to your comments on the red-green coalition, I would simply say that measures were introduced under the red-green coalition. Sometimes painful decisions were taken that made it possible for us to reduce unemployment in the first place.",Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Rot-Grüne Koalition,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",41,0,7,18,438,0,7,30,450,12,I am pleased that we have 1.6 million more people in employment. I am pleased that we have reduced the number of unemployed from five million to three million.,Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,"Unemployment, unemployment figures",The past,Description of made/not-made policy,Concrete statement,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,Yes,positive impression,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",42,0,7,30,450,0,7,36,456,6,But let us remember that it was decisions made during the red-green period that made this possible.,Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,"Unemployment, unemployment figures",The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Rot-Grüne Koalition,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",43,0,7,36,456,0,7,45,465,9,"Which brings me to the question I actually wanted to ask. I didn't expect you to answer as long as you did when I asked if you were on first-name terms, but you're still on first-name terms with each other and are probably glad that you are.",Klöppel,no,open question,does not apply,does not apply,Character,Personal,does not apply,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
